Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
net.0,0.0,0.000,0.0,0.091,4.5,0.298,4.9,0.361
net.2,0.0,0.000,0.0,0.139,4.9,0.284,4.4,0.328
net.3.aligned.branches.0.net.1,0.0,0.000,0.0,0.176,1.3,0.243,1.8,0.273
net.3.aligned.branches.0.net.3,0.0,0.000,0.0,0.206,0.0,0.179,1.3,0.209
net.4.aligned.branches.0.net.1,0.0,0.000,0.0,0.212,0.3,0.190,0.4,0.219
net.4.aligned.branches.0.net.3,0.0,0.000,0.0,0.186,0.3,0.186,0.4,0.216
net.6,0.0,0.000,0.0,0.178,1.0,0.188,1.6,0.219
net.7.aligned.branches.0.net.1,0.0,0.000,0.0,0.211,0.0,0.171,0.3,0.208
net.7.aligned.branches.0.net.3,0.0,0.000,0.0,0.230,0.3,0.198,0.0,0.221
net.8.aligned.branches.0.net.1,0.0,0.000,0.0,0.179,0.5,0.208,1.3,0.201
net.8.aligned.branches.0.net.3,0.0,0.000,0.0,0.161,0.5,0.191,0.0,0.186
net.9.aligned.branches.0.net.1,0.0,0.000,0.0,0.168,1.0,0.213,0.5,0.198
net.9.aligned.branches.0.net.3,0.0,0.000,0.0,0.154,2.6,0.256,0.8,0.240
net.11,0.0,0.000,0.0,0.152,3.6,0.273,2.1,0.245
net.12.aligned.branches.0.net.1,0.0,0.000,0.0,0.188,0.5,0.231,0.5,0.191
net.12.aligned.branches.0.net.3,0.0,0.000,0.0,0.205,0.5,0.196,0.0,0.164
net.13.aligned.branches.0.net.1,0.0,0.000,0.0,0.165,2.6,0.260,0.5,0.228
net.13.aligned.branches.0.net.3,0.0,0.000,0.0,0.202,0.5,0.230,0.5,0.217
net.14.aligned.branches.0.net.1,0.0,0.000,0.0,0.174,2.6,0.258,0.5,0.243
net.14.aligned.branches.0.net.3,0.0,0.000,0.0,0.215,1.0,0.241,0.5,0.226
net.16,0.0,0.000,0.0,0.200,2.1,0.266,2.1,0.254
net.17.aligned.branches.0.net.1,0.0,0.000,0.0,0.219,2.1,0.280,1.0,0.257
net.17.aligned.branches.0.net.3,0.0,0.000,0.0,0.215,1.0,0.255,0.0,0.223
net.18.aligned.branches.0.net.1,0.0,0.000,0.0,0.216,1.0,0.251,1.0,0.244
net.18.aligned.branches.0.net.3,0.0,0.000,0.0,0.243,0.0,0.182,1.0,0.195
net.19.aligned.branches.0.net.1,0.0,0.000,0.0,0.182,1.0,0.246,1.0,0.272
net.19.aligned.branches.0.net.3,0.0,0.000,0.0,0.198,1.0,0.243,2.1,0.307
net.21,0.0,0.000,0.0,0.176,15.6,0.392,15.6,0.393
