Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
net.0,16.5,0.571,13.6,0.505,12.4,0.459,2.9,0.253
net.2,14.5,0.494,2.0,0.334,9.5,0.436,5.9,0.278
net.3.aligned.branches.0.net.1,14.5,0.485,2.2,0.372,10.3,0.396,7.9,0.356
net.3.aligned.branches.0.net.3,15.4,0.478,5.5,0.383,9.2,0.409,9.4,0.380
net.4.aligned.branches.0.net.1,18.1,0.504,2.7,0.354,8.5,0.398,9.0,0.391
net.4.aligned.branches.0.net.3,18.4,0.480,6.1,0.418,10.3,0.405,10.7,0.387
net.6,16.4,0.492,9.9,0.469,14.8,0.461,8.9,0.385
net.7.aligned.branches.0.net.1,18.5,0.532,21.9,0.608,6.5,0.372,1.6,0.270
net.7.aligned.branches.0.net.3,21.9,0.549,25.0,0.715,8.1,0.373,1.3,0.250
net.8.aligned.branches.0.net.1,21.1,0.501,24.2,0.659,10.9,0.409,2.6,0.316
net.8.aligned.branches.0.net.3,17.2,0.493,22.1,0.584,10.9,0.416,5.2,0.329
net.9.aligned.branches.0.net.1,20.3,0.533,24.5,0.643,12.8,0.404,3.1,0.280
net.9.aligned.branches.0.net.3,16.7,0.460,16.7,0.524,12.5,0.414,7.3,0.311
net.11,17.2,0.462,14.1,0.494,20.8,0.512,10.9,0.371
net.12.aligned.branches.0.net.1,20.3,0.567,25.0,0.704,15.1,0.446,8.9,0.365
net.12.aligned.branches.0.net.3,17.7,0.492,25.0,0.803,13.5,0.424,13.5,0.486
net.13.aligned.branches.0.net.1,20.3,0.513,25.0,0.735,15.1,0.458,6.8,0.358
net.13.aligned.branches.0.net.3,15.1,0.508,22.4,0.692,15.6,0.482,5.7,0.327
net.14.aligned.branches.0.net.1,14.6,0.467,24.0,0.778,18.8,0.486,7.8,0.366
net.14.aligned.branches.0.net.3,13.5,0.411,25.0,0.723,18.2,0.501,1.6,0.256
net.16,17.7,0.438,12.5,0.545,16.7,0.458,2.1,0.265
net.17.aligned.branches.0.net.1,18.8,0.525,21.9,0.737,18.8,0.511,2.1,0.263
net.17.aligned.branches.0.net.3,19.8,0.482,24.0,0.678,17.7,0.498,3.1,0.237
net.18.aligned.branches.0.net.1,16.7,0.479,25.0,0.802,11.5,0.450,1.0,0.203
net.18.aligned.branches.0.net.3,21.9,0.537,25.0,0.846,18.8,0.475,0.0,0.136
net.19.aligned.branches.0.net.1,16.7,0.444,24.0,0.809,17.7,0.516,2.1,0.205
net.19.aligned.branches.0.net.3,15.6,0.460,22.9,0.783,17.7,0.492,1.0,0.183
net.21,0.0,0.362,25.0,0.695,25.0,0.535,0.0,0.297
