Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
net.0,8.3,0.343,0.0,0.130,16.6,0.523,2.8,0.319
net.2,7.9,0.305,0.0,0.111,18.2,0.499,2.6,0.299
net.3.aligned.branches.0.net.1,2.0,0.266,0.0,0.121,13.2,0.466,0.9,0.282
net.3.aligned.branches.0.net.3,0.3,0.242,0.0,0.138,14.3,0.440,0.1,0.265
net.4.aligned.branches.0.net.1,0.4,0.233,0.0,0.138,15.5,0.430,0.8,0.279
net.4.aligned.branches.0.net.3,2.0,0.258,0.0,0.147,16.9,0.458,1.4,0.277
net.6,2.3,0.267,0.0,0.160,17.4,0.477,1.6,0.278
net.7.aligned.branches.0.net.1,0.5,0.241,0.0,0.147,21.6,0.521,1.8,0.302
net.7.aligned.branches.0.net.3,1.3,0.214,0.3,0.159,19.0,0.472,1.8,0.269
net.8.aligned.branches.0.net.1,1.8,0.222,0.0,0.189,15.9,0.394,1.3,0.235
net.8.aligned.branches.0.net.3,2.3,0.254,0.3,0.230,15.4,0.405,0.8,0.211
net.9.aligned.branches.0.net.1,1.0,0.241,0.8,0.231,14.6,0.430,1.3,0.245
net.9.aligned.branches.0.net.3,1.0,0.243,0.5,0.264,15.6,0.435,0.5,0.229
net.11,4.2,0.266,0.0,0.264,14.6,0.446,1.6,0.226
net.12.aligned.branches.0.net.1,4.2,0.276,0.0,0.295,19.8,0.497,0.0,0.218
net.12.aligned.branches.0.net.3,6.8,0.304,0.0,0.277,22.9,0.544,0.0,0.250
net.13.aligned.branches.0.net.1,3.1,0.294,0.0,0.299,22.9,0.496,0.5,0.235
net.13.aligned.branches.0.net.3,2.1,0.266,0.5,0.278,15.6,0.456,0.0,0.212
net.14.aligned.branches.0.net.1,5.2,0.272,0.5,0.269,17.7,0.428,0.0,0.218
net.14.aligned.branches.0.net.3,1.6,0.250,0.0,0.259,14.1,0.403,0.0,0.197
net.16,2.1,0.253,1.0,0.271,14.6,0.378,0.0,0.190
net.17.aligned.branches.0.net.1,2.1,0.269,0.0,0.291,13.5,0.490,0.0,0.225
net.17.aligned.branches.0.net.3,2.1,0.284,0.0,0.264,15.6,0.489,1.0,0.259
net.18.aligned.branches.0.net.1,1.0,0.270,0.0,0.242,17.7,0.441,0.0,0.219
net.18.aligned.branches.0.net.3,0.0,0.265,0.0,0.242,13.5,0.472,0.0,0.214
net.19.aligned.branches.0.net.1,3.1,0.265,0.0,0.257,18.8,0.487,0.0,0.227
net.19.aligned.branches.0.net.3,0.0,0.326,0.0,0.250,24.0,0.619,2.1,0.299
net.21,0.0,0.190,0.0,0.196,12.5,0.410,0.0,0.192
