Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
net.0,0.0,0.190,0.0,0.264,0.8,0.212,0.5,0.275
net.2,0.0,0.196,0.0,0.292,0.0,0.169,0.1,0.260
net.3.aligned.branches.0.net.1,0.0,0.191,0.0,0.311,0.0,0.148,0.0,0.263
net.3.aligned.branches.0.net.3,0.0,0.193,0.0,0.331,0.0,0.120,0.0,0.259
net.4.aligned.branches.0.net.1,0.0,0.177,0.0,0.315,0.0,0.134,0.0,0.254
net.4.aligned.branches.0.net.3,0.0,0.188,0.0,0.320,0.0,0.135,0.0,0.251
net.6,0.0,0.190,0.0,0.318,0.0,0.141,0.0,0.251
net.7.aligned.branches.0.net.1,0.0,0.166,0.8,0.369,0.0,0.143,0.0,0.291
net.7.aligned.branches.0.net.3,0.0,0.145,0.3,0.358,0.3,0.188,0.5,0.321
net.8.aligned.branches.0.net.1,0.0,0.165,0.8,0.300,0.0,0.173,0.0,0.247
net.8.aligned.branches.0.net.3,0.0,0.173,0.0,0.291,0.0,0.171,0.3,0.238
net.9.aligned.branches.0.net.1,0.0,0.157,0.8,0.313,0.0,0.176,0.3,0.265
net.9.aligned.branches.0.net.3,0.0,0.157,0.5,0.280,0.3,0.193,1.3,0.263
net.11,0.0,0.142,0.0,0.255,2.1,0.228,2.1,0.261
net.12.aligned.branches.0.net.1,0.0,0.174,0.0,0.276,0.0,0.199,0.5,0.256
net.12.aligned.branches.0.net.3,0.0,0.169,0.0,0.233,0.0,0.166,0.0,0.212
net.13.aligned.branches.0.net.1,0.0,0.148,0.0,0.226,0.0,0.210,0.0,0.221
net.13.aligned.branches.0.net.3,0.0,0.156,0.0,0.236,0.0,0.181,0.0,0.182
net.14.aligned.branches.0.net.1,0.0,0.155,0.0,0.231,0.0,0.207,0.0,0.186
net.14.aligned.branches.0.net.3,0.0,0.158,0.0,0.252,0.0,0.186,0.0,0.189
net.16,0.0,0.152,0.0,0.241,1.0,0.220,1.0,0.210
net.17.aligned.branches.0.net.1,0.0,0.147,0.0,0.268,1.0,0.235,0.0,0.221
net.17.aligned.branches.0.net.3,0.0,0.170,0.0,0.307,0.0,0.187,0.0,0.181
net.18.aligned.branches.0.net.1,0.0,0.187,0.0,0.292,1.0,0.205,1.0,0.220
net.18.aligned.branches.0.net.3,0.0,0.226,0.0,0.353,0.0,0.128,0.0,0.234
net.19.aligned.branches.0.net.1,0.0,0.181,0.0,0.325,0.0,0.183,1.0,0.259
net.19.aligned.branches.0.net.3,0.0,0.224,0.0,0.381,0.0,0.147,0.0,0.287
net.21,0.0,0.174,0.0,0.299,0.0,0.232,6.2,0.300
