Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
layers.0.conv,0.0,0.000,0.0,0.182,2.7,0.228,1.6,0.191
layers.3.conv,0.0,0.000,0.0,0.152,2.0,0.209,1.8,0.223
layers.4.block.1.conv,0.0,0.000,0.0,0.134,0.8,0.194,1.2,0.181
layers.4.block.3.conv,0.0,0.000,0.0,0.163,0.0,0.183,0.0,0.182
layers.6.conv,0.0,0.000,0.0,0.110,3.5,0.238,3.1,0.243
layers.7.block.1.conv,0.0,0.000,0.0,0.184,3.1,0.221,0.8,0.199
layers.7.block.3.conv,0.0,0.000,0.0,0.148,0.8,0.212,0.0,0.188
layers.9.conv,0.0,0.000,0.0,0.180,7.0,0.307,6.2,0.326
layers.10.block.1.conv,0.0,0.000,0.0,0.207,1.6,0.294,3.1,0.275
layers.10.block.3.conv,0.0,0.000,0.0,0.182,4.7,0.308,3.9,0.297
layers.12.conv,0.0,0.000,0.0,0.209,7.8,0.356,6.2,0.344
layers.13.block.1.conv,0.0,0.000,0.0,0.281,6.2,0.369,6.2,0.366
layers.13.block.3.conv,0.0,0.000,0.0,0.225,12.5,0.381,10.9,0.363
