Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
layers.0.conv,13.3,0.407,22.0,0.648,7.4,0.439,9.9,0.386
layers.3.conv,15.2,0.449,23.8,0.696,8.4,0.434,12.3,0.482
layers.4.block.1.conv,17.6,0.460,25.0,0.725,14.5,0.459,7.8,0.438
layers.4.block.3.conv,12.1,0.442,23.8,0.759,15.2,0.480,17.2,0.563
layers.6.conv,23.8,0.521,25.0,0.703,7.8,0.423,11.3,0.469
layers.7.block.1.conv,23.4,0.587,25.0,0.764,12.5,0.443,6.2,0.423
layers.7.block.3.conv,24.6,0.694,23.4,0.745,4.3,0.425,18.4,0.551
layers.9.conv,25.0,0.772,19.5,0.599,4.7,0.453,10.9,0.432
layers.10.block.1.conv,23.4,0.645,25.0,0.607,15.6,0.446,10.9,0.492
layers.10.block.3.conv,15.6,0.555,21.9,0.627,16.4,0.538,11.7,0.483
layers.12.conv,25.0,0.700,14.1,0.482,14.1,0.547,12.5,0.466
layers.13.block.1.conv,0.0,0.546,25.0,0.590,15.6,0.548,3.1,0.432
layers.13.block.3.conv,7.8,0.556,17.2,0.649,10.9,0.471,9.4,0.445
