Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
layers.0.conv,2.7,0.257,0.0,0.147,11.9,0.407,2.2,0.234
layers.3.conv,3.5,0.303,0.2,0.179,11.3,0.431,2.1,0.287
layers.4.block.1.conv,3.9,0.282,0.0,0.173,13.3,0.400,7.0,0.278
layers.4.block.3.conv,4.7,0.343,0.0,0.160,16.2,0.510,5.7,0.348
layers.6.conv,5.1,0.316,0.0,0.161,21.5,0.524,5.9,0.331
layers.7.block.1.conv,5.5,0.355,0.0,0.148,21.9,0.601,8.6,0.333
layers.7.block.3.conv,3.1,0.320,0.0,0.175,24.6,0.547,2.0,0.322
layers.9.conv,6.2,0.293,0.0,0.183,17.2,0.506,5.5,0.315
layers.10.block.1.conv,9.4,0.329,0.0,0.201,23.4,0.536,1.6,0.334
layers.10.block.3.conv,3.9,0.297,0.0,0.182,21.1,0.523,6.2,0.302
layers.12.conv,9.4,0.353,0.0,0.172,25.0,0.594,15.6,0.415
layers.13.block.1.conv,3.1,0.290,0.0,0.178,21.9,0.521,3.1,0.421
layers.13.block.3.conv,3.1,0.289,0.0,0.198,25.0,0.539,10.9,0.395
