Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
layers.0.conv,0.0,0.150,0.1,0.222,0.4,0.161,0.5,0.204
layers.3.conv,0.0,0.184,0.0,0.178,0.6,0.161,0.4,0.167
layers.4.block.1.conv,0.0,0.160,0.0,0.201,0.0,0.154,0.0,0.205
layers.4.block.3.conv,0.0,0.208,0.0,0.202,0.0,0.156,0.0,0.147
layers.6.conv,0.0,0.181,0.0,0.191,1.2,0.152,0.4,0.154
layers.7.block.1.conv,0.0,0.171,0.8,0.223,0.0,0.166,0.0,0.182
layers.7.block.3.conv,0.0,0.162,0.0,0.202,0.0,0.158,0.0,0.169
layers.9.conv,0.0,0.177,0.0,0.259,3.9,0.216,1.6,0.231
layers.10.block.1.conv,0.0,0.189,1.6,0.258,0.0,0.194,0.0,0.187
layers.10.block.3.conv,0.0,0.201,1.6,0.289,1.6,0.207,1.6,0.225
layers.12.conv,0.0,0.179,0.0,0.273,0.0,0.296,0.0,0.222
layers.13.block.1.conv,0.0,0.147,0.0,0.291,0.0,0.324,0.0,0.234
layers.13.block.3.conv,0.0,0.167,0.0,0.296,0.0,0.287,0.0,0.233
