Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
net.0,0.0,0.000,0.0,0.165,5.9,0.353,17.5,0.493
net.2,0.0,0.000,0.0,0.161,2.0,0.315,21.2,0.503
net.3.aligned.branches.0.net.1,0.0,0.000,0.0,0.173,1.4,0.339,22.7,0.526
net.3.aligned.branches.0.net.3,0.0,0.000,0.0,0.181,2.2,0.366,24.7,0.565
net.4.aligned.branches.0.net.1,0.0,0.000,0.0,0.176,2.1,0.362,25.0,0.553
net.4.aligned.branches.0.net.3,0.0,0.000,0.0,0.166,5.6,0.379,24.7,0.554
net.6,0.0,0.000,0.0,0.182,4.2,0.388,24.2,0.564
net.7.aligned.branches.0.net.1,0.0,0.000,0.0,0.188,5.2,0.380,24.5,0.554
net.7.aligned.branches.0.net.3,0.0,0.000,0.0,0.174,7.3,0.398,24.5,0.594
net.8.aligned.branches.0.net.1,0.0,0.000,0.0,0.180,8.3,0.407,24.5,0.565
net.8.aligned.branches.0.net.3,0.0,0.000,0.0,0.171,9.4,0.387,23.7,0.521
net.9.aligned.branches.0.net.1,0.0,0.000,0.0,0.174,5.7,0.372,22.9,0.521
net.9.aligned.branches.0.net.3,0.0,0.000,0.0,0.195,13.5,0.395,24.5,0.513
net.11,0.0,0.000,0.0,0.178,10.4,0.381,22.4,0.526
net.12.aligned.branches.0.net.1,0.0,0.000,0.0,0.184,4.7,0.381,23.4,0.536
net.12.aligned.branches.0.net.3,0.0,0.000,0.0,0.187,14.6,0.398,24.0,0.539
net.13.aligned.branches.0.net.1,0.0,0.000,0.0,0.187,4.7,0.358,21.9,0.474
net.13.aligned.branches.0.net.3,0.0,0.000,0.0,0.177,9.9,0.394,18.2,0.475
net.14.aligned.branches.0.net.1,0.0,0.000,0.0,0.180,14.1,0.390,22.9,0.479
net.14.aligned.branches.0.net.3,0.0,0.000,0.0,0.154,14.1,0.384,22.9,0.524
net.16,0.0,0.000,0.0,0.149,16.7,0.401,18.8,0.542
net.17.aligned.branches.0.net.1,0.0,0.000,0.0,0.163,11.5,0.392,24.0,0.507
net.17.aligned.branches.0.net.3,0.0,0.000,0.0,0.162,5.2,0.327,13.5,0.405
net.18.aligned.branches.0.net.1,0.0,0.000,0.0,0.178,7.3,0.364,20.8,0.495
net.18.aligned.branches.0.net.3,0.0,0.000,0.0,0.163,14.6,0.381,18.8,0.490
net.19.aligned.branches.0.net.1,0.0,0.000,0.0,0.167,10.4,0.377,19.8,0.487
net.19.aligned.branches.0.net.3,0.0,0.000,0.0,0.150,8.3,0.416,20.8,0.547
net.21,0.0,0.000,0.0,0.138,6.2,0.336,9.4,0.427
