Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
net.0,11.1,0.411,25.0,0.948,18.4,0.568,24.5,0.836
net.2,12.1,0.419,25.0,0.971,23.8,0.656,25.0,0.817
net.3.aligned.branches.0.net.1,10.8,0.401,25.0,0.953,24.0,0.677,24.9,0.842
net.3.aligned.branches.0.net.3,8.6,0.373,25.0,0.951,23.6,0.679,25.0,0.851
net.4.aligned.branches.0.net.1,13.3,0.415,25.0,0.946,24.2,0.699,25.0,0.839
net.4.aligned.branches.0.net.3,12.9,0.384,25.0,0.937,23.3,0.641,25.0,0.820
net.6,15.9,0.436,25.0,0.942,22.7,0.639,25.0,0.829
net.7.aligned.branches.0.net.1,16.7,0.431,25.0,0.936,24.2,0.655,25.0,0.835
net.7.aligned.branches.0.net.3,12.8,0.422,25.0,0.961,25.0,0.730,25.0,0.890
net.8.aligned.branches.0.net.1,11.2,0.395,25.0,0.930,24.2,0.623,25.0,0.836
net.8.aligned.branches.0.net.3,15.1,0.435,25.0,0.929,25.0,0.617,25.0,0.867
net.9.aligned.branches.0.net.1,13.0,0.398,25.0,0.947,24.5,0.638,25.0,0.860
net.9.aligned.branches.0.net.3,8.3,0.393,25.0,0.934,24.5,0.663,25.0,0.863
net.11,17.7,0.459,25.0,0.961,20.8,0.612,25.0,0.859
net.12.aligned.branches.0.net.1,21.4,0.516,25.0,0.977,23.4,0.704,25.0,0.935
net.12.aligned.branches.0.net.3,15.1,0.467,25.0,0.947,25.0,0.778,25.0,0.908
net.13.aligned.branches.0.net.1,14.1,0.416,25.0,0.929,22.9,0.610,25.0,0.830
net.13.aligned.branches.0.net.3,15.6,0.416,25.0,0.906,16.7,0.588,25.0,0.834
net.14.aligned.branches.0.net.1,15.1,0.468,25.0,0.937,20.3,0.612,25.0,0.835
net.14.aligned.branches.0.net.3,19.8,0.628,25.0,0.958,15.6,0.507,25.0,0.877
net.16,18.8,0.527,25.0,0.979,20.8,0.697,25.0,0.902
net.17.aligned.branches.0.net.1,19.8,0.579,25.0,0.945,20.8,0.629,24.0,0.868
net.17.aligned.branches.0.net.3,21.9,0.624,25.0,0.862,22.9,0.641,21.9,0.709
net.18.aligned.branches.0.net.1,22.9,0.630,25.0,0.978,15.6,0.559,24.0,0.886
net.18.aligned.branches.0.net.3,19.8,0.568,25.0,0.954,18.8,0.648,25.0,0.877
net.19.aligned.branches.0.net.1,18.8,0.549,25.0,0.987,19.8,0.590,25.0,0.911
net.19.aligned.branches.0.net.3,19.8,0.508,25.0,0.972,20.8,0.613,22.9,0.897
net.21,9.4,0.431,25.0,0.870,25.0,0.558,25.0,0.708
