Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
net.0,3.4,0.253,0.0,0.127,11.1,0.410,5.3,0.329
net.2,3.4,0.232,0.0,0.130,15.8,0.421,7.4,0.329
net.3.aligned.branches.0.net.1,1.0,0.203,0.0,0.161,8.9,0.335,2.3,0.256
net.3.aligned.branches.0.net.3,0.1,0.168,0.0,0.174,4.7,0.316,0.3,0.210
net.4.aligned.branches.0.net.1,0.7,0.183,0.0,0.163,6.9,0.294,0.3,0.183
net.4.aligned.branches.0.net.3,0.4,0.196,0.0,0.156,7.0,0.303,0.5,0.201
net.6,1.3,0.192,0.0,0.139,10.7,0.314,1.0,0.205
net.7.aligned.branches.0.net.1,3.1,0.239,0.0,0.148,12.0,0.347,0.5,0.190
net.7.aligned.branches.0.net.3,2.3,0.214,0.0,0.144,8.6,0.309,0.8,0.199
net.8.aligned.branches.0.net.1,0.3,0.172,0.0,0.161,7.0,0.308,0.8,0.207
net.8.aligned.branches.0.net.3,0.8,0.197,0.3,0.167,8.1,0.324,0.8,0.218
net.9.aligned.branches.0.net.1,0.5,0.200,0.0,0.154,8.3,0.330,1.0,0.210
net.9.aligned.branches.0.net.3,0.5,0.207,0.0,0.137,10.7,0.360,3.1,0.248
net.11,4.2,0.214,0.0,0.158,12.0,0.371,6.2,0.261
net.12.aligned.branches.0.net.1,2.1,0.228,0.0,0.147,7.3,0.347,3.1,0.250
net.12.aligned.branches.0.net.3,8.3,0.265,0.0,0.134,17.7,0.399,9.9,0.294
net.13.aligned.branches.0.net.1,1.0,0.182,0.0,0.161,5.7,0.316,1.6,0.219
net.13.aligned.branches.0.net.3,0.5,0.210,0.0,0.162,13.5,0.380,4.2,0.268
net.14.aligned.branches.0.net.1,3.1,0.246,0.0,0.157,13.5,0.403,4.2,0.285
net.14.aligned.branches.0.net.3,3.6,0.260,0.0,0.139,11.5,0.419,6.2,0.310
net.16,3.1,0.209,0.0,0.173,11.5,0.381,6.2,0.269
net.17.aligned.branches.0.net.1,5.2,0.283,0.0,0.153,10.4,0.443,5.2,0.271
net.17.aligned.branches.0.net.3,3.1,0.217,0.0,0.142,10.4,0.374,3.1,0.228
net.18.aligned.branches.0.net.1,4.2,0.273,0.0,0.148,14.6,0.427,1.0,0.276
net.18.aligned.branches.0.net.3,3.1,0.247,0.0,0.141,7.3,0.406,2.1,0.240
net.19.aligned.branches.0.net.1,6.2,0.229,0.0,0.159,11.5,0.392,8.3,0.275
net.19.aligned.branches.0.net.3,6.2,0.256,0.0,0.183,14.6,0.443,4.2,0.330
net.21,12.5,0.214,0.0,0.150,18.8,0.407,18.8,0.406
