Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
net.0,0.0,0.130,0.0,0.131,8.9,0.372,0.5,0.233
net.2,0.0,0.149,0.0,0.156,4.3,0.328,0.3,0.207
net.3.aligned.branches.0.net.1,0.0,0.148,0.0,0.166,2.3,0.323,0.4,0.189
net.3.aligned.branches.0.net.3,0.0,0.174,0.0,0.199,2.3,0.314,0.3,0.173
net.4.aligned.branches.0.net.1,0.0,0.155,0.0,0.181,1.0,0.312,0.0,0.181
net.4.aligned.branches.0.net.3,0.0,0.146,0.0,0.172,3.0,0.319,0.3,0.191
net.6,0.0,0.137,0.0,0.197,0.5,0.310,0.0,0.162
net.7.aligned.branches.0.net.1,0.0,0.161,0.0,0.204,0.5,0.297,0.0,0.145
net.7.aligned.branches.0.net.3,0.0,0.115,0.0,0.160,0.8,0.317,0.0,0.158
net.8.aligned.branches.0.net.1,0.0,0.112,0.0,0.180,1.8,0.318,0.0,0.172
net.8.aligned.branches.0.net.3,0.0,0.131,0.0,0.179,3.6,0.320,0.3,0.181
net.9.aligned.branches.0.net.1,0.0,0.116,0.0,0.187,1.8,0.304,0.0,0.171
net.9.aligned.branches.0.net.3,0.0,0.134,0.0,0.178,3.4,0.330,0.0,0.161
net.11,0.0,0.128,0.0,0.170,7.3,0.320,1.6,0.185
net.12.aligned.branches.0.net.1,0.0,0.146,0.0,0.194,2.1,0.304,0.5,0.140
net.12.aligned.branches.0.net.3,0.0,0.160,0.0,0.177,0.0,0.306,0.0,0.112
net.13.aligned.branches.0.net.1,0.0,0.115,0.0,0.171,3.1,0.283,0.0,0.148
net.13.aligned.branches.0.net.3,0.0,0.131,0.0,0.168,3.1,0.295,0.0,0.135
net.14.aligned.branches.0.net.1,0.0,0.121,0.0,0.197,3.1,0.290,0.0,0.161
net.14.aligned.branches.0.net.3,0.0,0.144,0.0,0.182,7.3,0.299,0.0,0.191
net.16,0.0,0.103,0.0,0.151,10.4,0.337,0.0,0.242
net.17.aligned.branches.0.net.1,0.0,0.145,0.0,0.187,4.2,0.331,3.1,0.229
net.17.aligned.branches.0.net.3,0.0,0.115,0.0,0.239,3.1,0.270,0.0,0.219
net.18.aligned.branches.0.net.1,0.0,0.138,0.0,0.164,6.2,0.319,1.0,0.225
net.18.aligned.branches.0.net.3,0.0,0.124,0.0,0.162,2.1,0.308,1.0,0.235
net.19.aligned.branches.0.net.1,0.0,0.124,0.0,0.168,4.2,0.298,0.0,0.232
net.19.aligned.branches.0.net.3,0.0,0.138,0.0,0.183,4.2,0.338,1.0,0.259
net.21,0.0,0.119,0.0,0.156,15.6,0.354,3.1,0.279
