Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
net.0,0.0,0.000,0.0,0.178,7.7,0.349,6.8,0.359
net.2,0.0,0.000,0.0,0.210,2.7,0.267,1.7,0.261
net.3.aligned.branches.0.net.1,0.0,0.000,0.0,0.221,2.5,0.240,1.8,0.250
net.3.aligned.branches.0.net.3,0.0,0.000,0.0,0.246,0.1,0.182,1.4,0.187
net.4.aligned.branches.0.net.1,0.0,0.000,0.0,0.227,1.7,0.213,1.2,0.235
net.4.aligned.branches.0.net.3,0.0,0.000,0.0,0.229,1.0,0.236,2.9,0.269
net.6,0.0,0.000,0.0,0.205,2.9,0.235,2.1,0.239
net.7.aligned.branches.0.net.1,0.0,0.000,0.0,0.243,1.3,0.194,1.3,0.195
net.7.aligned.branches.0.net.3,0.0,0.000,0.0,0.231,1.3,0.199,2.9,0.231
net.8.aligned.branches.0.net.1,0.0,0.000,0.0,0.217,0.3,0.194,1.0,0.192
net.8.aligned.branches.0.net.3,0.0,0.000,0.0,0.216,0.0,0.170,1.3,0.185
net.9.aligned.branches.0.net.1,0.0,0.000,0.0,0.225,0.3,0.189,1.0,0.190
net.9.aligned.branches.0.net.3,0.0,0.000,0.0,0.220,1.0,0.205,2.1,0.227
net.11,0.0,0.000,0.0,0.202,2.1,0.231,2.6,0.238
net.12.aligned.branches.0.net.1,0.0,0.000,0.0,0.220,1.0,0.206,1.0,0.206
net.12.aligned.branches.0.net.3,0.0,0.000,0.0,0.228,0.0,0.212,1.6,0.213
net.13.aligned.branches.0.net.1,0.0,0.000,0.0,0.184,2.6,0.228,0.5,0.213
net.13.aligned.branches.0.net.3,0.0,0.000,0.0,0.208,0.5,0.227,1.0,0.221
net.14.aligned.branches.0.net.1,0.0,0.000,0.0,0.199,3.6,0.259,4.7,0.262
net.14.aligned.branches.0.net.3,0.0,0.000,0.0,0.183,3.6,0.269,4.7,0.312
net.16,0.0,0.000,0.0,0.175,2.1,0.320,5.2,0.341
net.17.aligned.branches.0.net.1,0.0,0.000,0.0,0.202,2.1,0.237,1.0,0.262
net.17.aligned.branches.0.net.3,0.0,0.000,0.0,0.217,4.2,0.235,3.1,0.262
net.18.aligned.branches.0.net.1,0.0,0.000,0.0,0.175,2.1,0.264,5.2,0.317
net.18.aligned.branches.0.net.3,0.0,0.000,0.0,0.204,0.0,0.207,1.0,0.293
net.19.aligned.branches.0.net.1,0.0,0.000,0.0,0.177,2.1,0.324,6.2,0.400
net.19.aligned.branches.0.net.3,0.0,0.000,0.0,0.154,5.2,0.351,8.3,0.409
net.21,0.0,0.000,0.0,0.196,12.5,0.400,15.6,0.491
