Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
net.0,10.9,0.418,22.0,0.763,15.2,0.513,18.2,0.617
net.2,12.1,0.422,22.9,0.736,19.9,0.540,23.7,0.663
net.3.aligned.branches.0.net.1,14.1,0.436,16.7,0.605,19.3,0.536,22.8,0.630
net.3.aligned.branches.0.net.3,16.4,0.479,21.4,0.654,20.4,0.515,23.6,0.674
net.4.aligned.branches.0.net.1,14.6,0.431,24.0,0.693,17.6,0.497,22.5,0.619
net.4.aligned.branches.0.net.3,12.0,0.388,24.3,0.754,16.1,0.457,22.5,0.632
net.6,10.2,0.361,24.5,0.748,17.7,0.494,23.2,0.645
net.7.aligned.branches.0.net.1,9.1,0.370,24.7,0.706,19.0,0.549,19.8,0.593
net.7.aligned.branches.0.net.3,3.6,0.321,23.7,0.679,21.6,0.539,19.5,0.551
net.8.aligned.branches.0.net.1,9.1,0.319,24.7,0.750,12.8,0.447,22.1,0.578
net.8.aligned.branches.0.net.3,6.0,0.324,25.0,0.805,6.0,0.360,20.1,0.542
net.9.aligned.branches.0.net.1,9.1,0.347,25.0,0.786,12.5,0.407,20.6,0.544
net.9.aligned.branches.0.net.3,6.2,0.341,24.5,0.715,17.2,0.477,14.3,0.439
net.11,14.1,0.407,23.4,0.741,17.2,0.447,19.3,0.498
net.12.aligned.branches.0.net.1,15.6,0.382,24.5,0.709,17.2,0.418,17.2,0.488
net.12.aligned.branches.0.net.3,11.5,0.364,24.5,0.719,11.5,0.402,21.9,0.550
net.13.aligned.branches.0.net.1,9.9,0.317,24.0,0.662,7.3,0.330,13.5,0.401
net.13.aligned.branches.0.net.3,6.2,0.321,23.4,0.705,7.3,0.300,9.4,0.371
net.14.aligned.branches.0.net.1,5.2,0.324,25.0,0.721,13.5,0.345,16.7,0.471
net.14.aligned.branches.0.net.3,7.3,0.366,24.5,0.673,13.5,0.405,15.1,0.485
net.16,13.5,0.440,25.0,0.767,15.6,0.446,17.7,0.509
net.17.aligned.branches.0.net.1,9.4,0.396,25.0,0.744,15.6,0.494,7.3,0.481
net.17.aligned.branches.0.net.3,12.5,0.422,25.0,0.768,15.6,0.479,13.5,0.473
net.18.aligned.branches.0.net.1,18.8,0.424,25.0,0.727,17.7,0.514,9.4,0.372
net.18.aligned.branches.0.net.3,13.5,0.433,24.0,0.748,17.7,0.511,11.5,0.395
net.19.aligned.branches.0.net.1,17.7,0.422,25.0,0.747,15.6,0.526,8.3,0.389
net.19.aligned.branches.0.net.3,18.8,0.541,25.0,0.790,15.6,0.489,6.2,0.342
net.21,15.6,0.383,25.0,0.776,25.0,0.608,0.0,0.428
