Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
net.0,4.6,0.277,0.0,0.172,14.8,0.443,8.9,0.353
net.2,4.7,0.274,0.0,0.164,17.7,0.465,10.0,0.364
net.3.aligned.branches.0.net.1,2.3,0.241,0.0,0.175,11.3,0.404,6.0,0.311
net.3.aligned.branches.0.net.3,0.0,0.150,0.0,0.182,4.6,0.325,1.8,0.272
net.4.aligned.branches.0.net.1,0.9,0.210,0.0,0.152,9.8,0.342,7.4,0.292
net.4.aligned.branches.0.net.3,0.7,0.198,0.0,0.146,8.9,0.330,5.6,0.289
net.6,4.2,0.229,0.0,0.156,11.2,0.361,5.2,0.269
net.7.aligned.branches.0.net.1,1.6,0.197,0.0,0.157,4.9,0.298,1.6,0.220
net.7.aligned.branches.0.net.3,0.0,0.181,0.0,0.142,2.1,0.261,0.5,0.188
net.8.aligned.branches.0.net.1,1.0,0.174,0.0,0.154,4.9,0.282,0.5,0.204
net.8.aligned.branches.0.net.3,0.5,0.190,0.0,0.150,3.1,0.271,0.3,0.216
net.9.aligned.branches.0.net.1,0.8,0.175,0.0,0.145,10.2,0.317,2.6,0.238
net.9.aligned.branches.0.net.3,0.8,0.177,0.0,0.152,11.2,0.345,2.6,0.243
net.11,6.8,0.246,0.5,0.166,17.7,0.375,7.3,0.255
net.12.aligned.branches.0.net.1,3.6,0.253,0.0,0.150,15.1,0.387,7.3,0.297
net.12.aligned.branches.0.net.3,2.6,0.262,0.0,0.173,12.5,0.403,3.6,0.311
net.13.aligned.branches.0.net.1,2.1,0.194,0.0,0.133,9.4,0.321,2.1,0.215
net.13.aligned.branches.0.net.3,1.6,0.207,0.0,0.136,7.3,0.326,1.0,0.237
net.14.aligned.branches.0.net.1,3.1,0.222,0.0,0.143,12.0,0.352,6.8,0.253
net.14.aligned.branches.0.net.3,5.7,0.308,0.0,0.142,18.8,0.486,12.0,0.357
net.16,13.5,0.325,0.0,0.167,20.8,0.521,10.4,0.395
net.17.aligned.branches.0.net.1,8.3,0.286,0.0,0.166,19.8,0.464,5.2,0.320
net.17.aligned.branches.0.net.3,6.2,0.309,1.0,0.166,17.7,0.512,7.3,0.323
net.18.aligned.branches.0.net.1,10.4,0.332,0.0,0.160,22.9,0.532,11.5,0.351
net.18.aligned.branches.0.net.3,9.4,0.327,0.0,0.166,17.7,0.477,4.2,0.321
net.19.aligned.branches.0.net.1,7.3,0.324,0.0,0.154,18.8,0.503,4.2,0.320
net.19.aligned.branches.0.net.3,6.2,0.277,0.0,0.171,14.6,0.460,5.2,0.348
net.21,6.2,0.258,0.0,0.169,18.8,0.520,15.6,0.470
