Layer,Pitch Hz Resp %,Pitch Hz Corr,BPM Resp %,BPM Corr,SC Resp %,SC Corr,SB Resp %,SB Corr
net.0,0.0,0.145,0.0,0.149,3.9,0.276,3.0,0.268
net.2,0.0,0.154,0.0,0.226,2.2,0.221,2.2,0.244
net.3.aligned.branches.0.net.1,0.0,0.144,0.4,0.218,0.9,0.204,0.4,0.244
net.3.aligned.branches.0.net.3,0.0,0.141,1.7,0.296,0.0,0.134,0.0,0.237
net.4.aligned.branches.0.net.1,0.0,0.155,1.3,0.283,0.0,0.165,0.5,0.245
net.4.aligned.branches.0.net.3,0.0,0.149,0.5,0.249,0.3,0.163,1.2,0.253
net.6,0.0,0.150,0.3,0.249,0.3,0.151,1.3,0.217
net.7.aligned.branches.0.net.1,0.0,0.130,0.3,0.289,0.0,0.117,0.0,0.190
net.7.aligned.branches.0.net.3,0.0,0.101,1.0,0.233,0.0,0.095,0.0,0.142
net.8.aligned.branches.0.net.1,0.0,0.111,0.0,0.237,0.0,0.101,0.0,0.180
net.8.aligned.branches.0.net.3,0.0,0.135,0.0,0.195,0.0,0.092,0.0,0.179
net.9.aligned.branches.0.net.1,0.0,0.126,0.8,0.250,0.0,0.107,0.0,0.202
net.9.aligned.branches.0.net.3,0.0,0.123,0.0,0.208,0.0,0.130,0.3,0.208
net.11,0.0,0.155,0.5,0.232,1.0,0.138,1.6,0.180
net.12.aligned.branches.0.net.1,0.0,0.148,0.0,0.223,0.0,0.149,0.5,0.204
net.12.aligned.branches.0.net.3,0.0,0.151,0.0,0.161,0.0,0.175,0.0,0.172
net.13.aligned.branches.0.net.1,0.0,0.117,0.0,0.166,0.0,0.118,0.0,0.145
net.13.aligned.branches.0.net.3,0.0,0.124,0.0,0.214,0.0,0.119,0.0,0.155
net.14.aligned.branches.0.net.1,0.0,0.130,0.5,0.227,0.0,0.150,0.0,0.217
net.14.aligned.branches.0.net.3,0.0,0.149,0.5,0.225,0.5,0.182,1.6,0.201
net.16,0.0,0.175,0.0,0.249,1.0,0.229,1.0,0.253
net.17.aligned.branches.0.net.1,0.0,0.148,0.0,0.248,0.0,0.197,2.1,0.223
net.17.aligned.branches.0.net.3,0.0,0.163,0.0,0.233,1.0,0.210,0.0,0.190
net.18.aligned.branches.0.net.1,0.0,0.181,0.0,0.213,0.0,0.216,0.0,0.231
net.18.aligned.branches.0.net.3,0.0,0.200,0.0,0.231,0.0,0.174,0.0,0.253
net.19.aligned.branches.0.net.1,1.0,0.197,0.0,0.254,0.0,0.235,3.1,0.297
net.19.aligned.branches.0.net.3,0.0,0.216,1.0,0.309,1.0,0.235,2.1,0.339
net.21,0.0,0.114,0.0,0.216,12.5,0.326,6.2,0.306
